AFF_LOVE_POINT	Pontos de Amor: %d%%
DRAGON_SOUL_EQUIP_WARNING2	Mesmo assim deseja equipar?
DRAGON_SOUL_EXPIRED	A pedra expirou.
DRAGON_SOUL_INVALID_DRAGON_SOUL	Pedra inválida.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Não é uma pedra.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Não é uma pedra de refinação.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Faltam materiais.
DRAGON_SOUL_STEP_LEVEL1	Fosca
DRAGON_SOUL_STEP_LEVEL2	Clara
DRAGON_SOUL_STEP_LEVEL3	Limpa
DRAGON_SOUL_STEP_LEVEL4	Brilhante
DRAGON_SOUL_STEP_LEVEL5	Resplandecente
DRAGON_SOUL_STRENGTH	+%dLevel	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Remover pedras pode quebrá-las.
DRAGON_SOUL_UNEQUIP_WARNING2	Mesmo assim deseja remover?
DRAGON_SOUL_UNMATCHED_SLOT	A pedra não encaixa no slot.
DRAGON_SOUL_UNQUALIFIED	A pedra não possui os requisitos necessários.
DROP_ITEM_FAILURE_EQUIP_ITEM	Impossível descartar um item equipado.	
DROP_ITEM_FAILURE_PRIVATE_SHOP	Impossível descartar um item com a Loja Particular aberta.	
DROP_MONEY_FAILURE_1000_OVER	Impossível descartar mais de 1.000 Gold por vez.	
EMOTION_ANGRY	Enfurecer-se	
EMOTION_ATTRACTIVE	Seduzir	
EMOTION_BANTER	Provocar	
EMOTION_CHEERS_1	Grito de Guerra	
EMOTION_CHEERS_2	Comemoração	
EMOTION_CHEERUP	Apoiar
EMOTION_CHOOSE_ONE	Selecione um personagem.
EMOTION_CLAP	Aplausos	
EMOTION_CLAP_KISS	Beijo	
EMOTION_CONGRATULATION	Parabenizar	
EMOTION_DANCE_1	Dançar1
EMOTION_DANCE_2	Dançar2	
EMOTION_DANCE_3	Dançar3	
EMOTION_DANCE_4	Dançar4	
EMOTION_DANCE_5	Dançar5
EMOTION_DANCE_6	Cavalinho
EMOTION_FORGIVE	Perdoar	
EMOTION_FRENCH_KISS	Beijo Apaixonado	
EMOTION_JOY	Alegrar-se	
EMOTION_SAD	Lamentar-se	
EMOTION_SHY	Timidez	
EMOTION_SLAP	Tapa	
EMPIRE_A	Shinsu
EMPIRE_B	Chunjo	
EMPIRE_C	Jinno	
EXCHANGE_CANNOT_GIVE	Não é possível trocar este item.	
EXCHANGE_CANT_EDIT_MONEY	Não é possível modificar a quantidade.	
EXCHANGE_FAILURE_EQUIP_ITEM	Não é possível trocar itens equipados.	
EXCHANGE_MONEY	Gold	
EXCHANGE_TITLE	Negociação com %s(%d)
FISHING_FAILURE	Oh não! O peixe comeu a sua isca!	
FISHING_NOTIFY1	%s está mordendo a isca!
FISHING_NOTIFY2	%s está preso no anzol!
FISHING_SUCCESS1	Parabéns, você pescou um(a) %s!	
FISHING_SUCCESS2	Parabéns, você conseguiu um(a) %s!
FISHING_UNKNOWN	Não sei que tipo de peixe está fisgando!	
FISHING_WRONG_PLACE	Não é possível pescar neste local.	
FOR_FEMALE	Feminino
FOR_MALE	Masculino
GAME_CANNOT_MINING	Impossível minerar enquanto estiver montado.	
GAME_CANNOT_PICK_ITEM	Não é possível pegar itens que não lhe pertencem.	
GAME_INIT_ERROR_CURSOR	Falha na criação do cursor.	
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 necessita ser instalado para executar o jogo.\n Instale o DirectX 8.1 ou superior.	
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Não foi possível encontrar o dispositivo gráfico para a executar o jogo.\n Verifique se sua placa de vídeo foi instalada corretamente.	
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Falha na criação do dispositivo gráfico.\n Verifique se seu dispositivo gráfico atende os requerimentos mínimos.\n Ou acione a aceleração de hardware.\n (Mantenha a aceleração por hardware ao máximo \n do Painel de Controle->Vídeo->Configurações->Avançado->Aba de Solução de Problemas)	
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Seu dispositivo gráfico não suporta o modo de janela na configuração de 32-bit.\n Altere para a configuração para 16-bit ou utilize o modo de tela cheia.	
GAME_INIT_ERROR_ITEM_PROTO	Não possui dados do item.\n Por favor reinstale o jogo novamente.	
GAME_INIT_ERROR_MAIN_WINDOW	Falha na criação da interface.	
GAME_INIT_ERROR_MOB_PROTO	Não possui dados de monstros.\n Por favor reinstale o jogo novamente.	
GAME_INIT_ERROR_NETWORK	Falha na criação do dispositivo de rede.\n Por favor verifique sua conexão de internet.	
GAME_PICK_MONEY	Você recebeu %s gold.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	A altura não possui 128 pixels	
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	A altura não possui 12 pixels	
GUILDMARK_UPLOADER_ERROR_16_WIDTH	A largura não possui 16 pixels	
GUILDMARK_UPLOADER_ERROR_64_WIDTH	A largura não possui 64 pixels	
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	O tipo da imagem não é compatível com o jogo.	
GUILDMARK_UPLOADER_ERROR_PATH	Por favor, posicione os arquivos no diretório metin2/upload	
GUILDMARK_UPLOADER_ERROR_SELECT	Nenhuma imagem foi selecionada.	
GUILDWAR_CTF_TITLE	Captura de Bandeira
GUILDWAR_NORMAL_TITLE	Batalha entre Guildas	
GUILDWAR_WARP_TITLE	Arena de Guerra	
GUILD_BUILDING_GRADE	Nível
GUILD_BUILDING_NAME	Nome
GUILD_CANNOT_HEAL_GSP_ANYMORE	Pontos de Skill da Guilda completos, impossível adicionar.	
GUILD_COMMENT	Enviar	
GUILD_CREATE_ERROR_INSULT_NAME	O nome da Guilda é inapropriado.	
GUILD_DEFAULT_GRADE	Membros da Guilda
GUILD_DELETE	Apagar	
GUILD_DEPOSIT	Doar Gold	
GUILD_DO_YOU_HEAL_GSP	Quer utilizar %d Gold para restaurar %d GSP?	
GUILD_DO_YOU_JOIN	: Aceita se unir a essa Guilda?	
GUILD_EMPTY_AREA	Vazio	
GUILD_FACILITY	Anexo
GUILD_GEM	Pedra	
GUILD_HEADQUARTER	Edifício Principal
GUILD_HEAL_GSP	Restaurar GSP	
GUILD_INFO_ENEMY_GUILD_EMPTY	Vazio	
GUILD_MARK_NOT_ENOUGH_LEVEL	É necessário Guilda nível 3.
GUILD_NAME	Nome	
GUILD_NOT_ENOUGH_MATERIAL	Você não tem material suficiente para a construção.	
GUILD_NOT_ENOUGH_MONEY	Você não possui Gold suficiente para a construção.	
GUILD_NO_NOTICE_PERMISSION	Você não possui autoridade para enviar a mensagem.	
GUILD_OBJECT	Objectos
GUILD_OFFER_EXP	Investir Experiência
GUILD_SHORT_EXP	Não possui experiência suficiente.
GUILD_TILE_BASEINFO	Informações da Guilda
GUILD_TILE_BOARD	Quadro de Mensagens
GUILD_TILE_GRADE	Títulos e Permissões
GUILD_TILE_INFO	Informações da Guilda
GUILD_TILE_MEMBER	Membros da Guilda
GUILD_TILE_SKILL	Skills da Guilda
GUILD_REMOVE_MEMBER_QUESTION	Queres remover este membro?
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Área de Guerras de Guilds
GUILD_WAR2	Área de Guerras de Guilds
GUILD_WAR3	Área de Guerras de Guilds
GUILD_WAR4	Área de Guerras de Guilds
GUILD_WAR_LIMIT_30MIN	Tempo: 30 minutos	
GUILD_WAR_REWARD_POTION	Recompensa: o vencedor recebe poções.	
GUILD_WAR_USE_BATTLE_MAP	Ocorre na Arena de Guerra.
GUILD_WAR_USE_NORMAL_MAP	Ocorre no mapa normal.	
GUILD_WAR_WIN_CHECK_SCORE	Guilda com maior pontuação vence.	
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Capture a bandeira inimiga e
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	traga a bandeira para a base de sua Guilda.	
GUILD_WAR_WIN_WIPE_OUT_GUILD	Derrote todos os oponentes para vencer.	
GUILD_WITHDRAW	Retirar Gold	
GUILD_YOU_DO_NOT_JOIN	Você não pertence a nenhuma Guilda.
HORSE_HEALTH0	Morto	
HORSE_HEALTH1	Faminto	
HORSE_HEALTH2	Normal
HORSE_HEALTH3	Satisfeito
HORSE_LEVEL1	Pônei	
HORSE_LEVEL2	Cavalo	
HORSE_LEVEL3	Cavalo de Guerra	
HOUR	h	
HOW_MANY_ITEM_DO_YOU_DROP1	Deseja realmente descartar %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Deseja realmente descartar %s x%d?
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Insira o código de 7 dígitos (Mês/Dia/CPF)
INPUT_PRIVATE_CODE_DIALOG_TITLE	Excluir o personagem
INVENTORY_REALLY_USE_ITEM	Quer utilizar este item?	
JOB_ASSASSIN	Ninja	
JOB_ASSASSIN0	Ninja Aprendiz	
JOB_ASSASSIN1	Força Ninja	
JOB_ASSASSIN2	Força Arqueira	
JOB_SHAMAN	Shaman	
JOB_SHAMAN0	Shaman Aprendiz	
JOB_SHAMAN1	Força Dragão	
JOB_SHAMAN2	Força Relâmpago	
JOB_SURA	Shura	
JOB_SURA0	Shura Aprendiz	
JOB_SURA1	Força Miragem	
JOB_SURA2	Força Negra	
JOB_WARRIOR	Guerreiro	
JOB_WARRIOR0	Guerreiro Aprendiz	
JOB_WARRIOR1	Força Arahan	
JOB_WARRIOR2	Força Partizan	
LEFT_TIME	Tempo restante	
LOCALE_CHANGE_CONFIRM	Alterar o idioma para %s e recarregar o jogo?
LOGIN_CONNECT_FAILURE	Falha de conexão com o servidor.	
LOGIN_CONNECT_SUCCESS	Conexão com o servidor estabelecida.
LOGIN_CONNETING	Conectando...	
LOGIN_FAILURE_ALREAY	A conta já está conectada.	
LOGIN_FAILURE_BE_SAME_KEY	O Login apresentou um erro.	
LOGIN_FAILURE_BLOCK_ID	Conta bloqueada. \n  entre em contato com o suporte para mais informações.
LOGIN_FAILURE_BLOCK_LOGIN	Por favor escolhe um dos outros Servidores!
LOGIN_FAILURE_NOBILL	A conta não possui tempo de jogo registrado.	
LOGIN_FAILURE_NOT_AVAIL	A conta não está disponível.	
LOGIN_FAILURE_NOT_EXIST_ID	ID não existe.
LOGIN_FAILURE_REPAIR_ID	Aguarde, sua conta está sendo analisada pelos GM's.
LOGIN_FAILURE_SAMELOGIN	Uma conexão simultânea foi realizada em outro computador.
LOGIN_FAILURE_SHUTDOWN	O servidor está em manutenção, acesse o site www.metin2.com.br para maiores informações	
LOGIN_FAILURE_TOO_MANY_USER	Não foi possível conectar pois o servidor se encontra cheio no momento.	
LOGIN_FAILURE_UNKNOWN	Falha no Login por erro desconhecido.
LOGIN_FAILURE_WEB_BLOCK	test
LOGIN_FAILURE_WRONG_PASSWORD	Senha incorreta.
LOGIN_INPUT_ID	Digite o ID.	
LOGIN_INPUT_PASSWORD	Digite a senha.	
LOGIN_PROCESSING	Logando...
MALL_CANNOT_INSERT	Não é possível colocar o item no Item Shop.	
MALL_PASSWORD_TITLE	Senha	
MAP_A1	Centro Shinsuyon
MAP_A2	Vale Suryong
MAP_A2_1	Vale Suryong
MAP_A3	Vila Jayang
MAP_AG	Forte Jurang
MAP_B1	Centro Chonjoyon
MAP_B2	Vale de Fugus
MAP_B3	Vila Bokujong
MAP_BATTLE_FIELD	Zona de Combate
MAP_BAY	Enseada de Jades
MAP_BAYBLACKSAND	Baía de Nephrite
MAP_BG	Forte Waryon
MAP_C1	Centro Jinnoyon
MAP_C2	Montanha Cenran
MAP_C3	Vila Bakura
MAP_CAPE	Península do Dragão
MAP_CAPEDRAGONHEAD	Cabo Fogo de Dragão
MAP_CG	Forte Imura
MAP_CZ_DUNGEON	Templo do Zodíaco
MAP_DAWN	Penhasco da Alvorada
MAP_DAWNMISTWOOD	Falésia de Gautama
MAP_DAWNMIST_DUNGEON_01	Floresta Encantada
MAP_DESERT	Deserto Yonbi
MAP_DEVILCATACOMB	Catacumbas do Demónio
MAP_DEVILTOWER1	Torre Demoníaca
MAP_DUEL	Arena de Lutas de Treino
MAP_E	Colónia
MAP_EMPIREWAR01	Batalha do Castelo
MAP_EMPIREWAR02	Batalha do Castelo
MAP_EMPIREWAR03	Batalha do Castelo
MAP_FLAME	Campo Doyama
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Guerra dos Reinos - Terra do Deserto
MAP_HOLYPLACE_FLAME	Guerra dos Reinos - Terra do Fogo
MAP_HOLYPLACE_ICE	Guerra dos Reinos - Terra do Gelo
MAP_MILGYO	Templo Hwang
MAP_MILGYO_A	Templo Miokio
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Montanhas do Trovão
MAP_MT_TH_DUNGEON_01	Templo dos Ochao
MAP_NUSLUCK	Sawang
MAP_NUSLUCK01	Terra dos Gigantes
MAP_N_DESERT_01	Deserto Yongbi
MAP_N_DESERT_02	Deserto de Yongbi
MAP_N_FLAME_01	Terra do Fogo
MAP_N_FLAME_02	Campo Doyama
MAP_N_FLAME_DRAGON	Covil de Meley
MAP_N_FLAME_DUNGEON_01	Forte do Dragão Vermelho
MAP_N_SNOWM_01	Montanha Sohan
MAP_N_SNOWM_02	Montanha Sohan
MAP_N_SNOW_DUNGEON_01	Torre de Vigia de Nemere
MAP_N_THREEWAY	Vale Seungryong
MAP_OXEVENT	Concurso OX
MAP_PATHWAY_DESERT_01	Guerra dos Reinos - Terra do Deserto
MAP_PATHWAY_DESERT_02	Guerra dos Reinos - Terra do Deserto
MAP_PATHWAY_DESERT_03	Guerra dos Reinos - Terra do Deserto
MAP_PATHWAY_FLAME_01	Guerra dos Reinos - Terra do Fogo
MAP_PATHWAY_FLAME_02	Guerra dos Reinos - Terra do Fogo
MAP_PATHWAY_FLAME_03	Guerra dos Reinos - Terra do Fogo
MAP_PATHWAY_ICE_01	Guerra dos Reinos - Terra do Gelo
MAP_PATHWAY_ICE_02	Terra do Jogo
MAP_PATHWAY_ICE_03	Guerra dos Reinos - Terra do Gelo
MAP_SKELTOWER	Torre Demoníaca
MAP_SKIPIA_DUNGEON_01	Gruta das Almas
MAP_SKIPIA_DUNGEON_011	Gruta Chun1(Shinso)
MAP_SKIPIA_DUNGEON_012	Gruta Chun1(Chunjo)
MAP_SKIPIA_DUNGEON_013	Gruta Chun1(Jinno)
MAP_SKIPIA_DUNGEON_02	Gruta das Almas
MAP_SKIPIA_DUNGEON_021	Gruta Chun2(Shinso)
MAP_SKIPIA_DUNGEON_022	Gruta Chun2(Chunjo)
MAP_SKIPIA_DUNGEON_023	Gruta Chun2(Jinno)
MAP_SKIPIA_DUNGEON_BOSS	Templo do Dragão
MAP_SKIPIA_DUNGEON_BOSS_1	Caverna das Aranhas 1
MAP_SKIPIA_DUNGEON_BOSS_2	Caverna das Aranhas 2
MAP_SKIPIA_DUNGEON_BOSS_3	Caverna das Aranhas 3
MAP_SNOW	Montanha Sohan
MAP_SPIDER	Caverna Sombria
MAP_SPIDERDUNGEON	Caverna das Aranhas 1
MAP_SPIDERDUNGEON_02	Caverna das Aranhas 2
MAP_SPIDERDUNGEON_02_1	Caverna das Aranhas 2
MAP_SPIDERDUNGEON_03	Caverna das Aranhas 3
MAP_SUNGZI	Guerra dos Reinos
MAP_SUNGZI_DESERT_01	Guerra dos Reinos - Terra do Deserto
MAP_SUNGZI_DESERT_HILL_01	Guerra dos Reinos - Terra do Deserto
MAP_SUNGZI_DESERT_HILL_02	Guerra dos Reinos - Terra do Deserto
MAP_SUNGZI_DESERT_HILL_03	Guerra dos Reinos - Terra do Deserto
MAP_SUNGZI_FLAME_HILL_01	Guerra dos Reinos - Terra do Fogo
MAP_SUNGZI_FLAME_HILL_02	Guerra dos Reinos - Terra do Fogo
MAP_SUNGZI_FLAME_HILL_03	Guerra dos Reinos - Terra do Fogo
MAP_SUNGZI_SNOW	Guerra dos Reinos - Terra do Gelo
MAP_SUNGZI_SNOW_PASS01	Guerra dos Reinos - Terra do Gelo
MAP_SUNGZI_SNOW_PASS02	Guerra dos Reinos - Terra do Gelo
MAP_SUNGZI_SNOW_PASS03	Guerra dos Reinos - Terra do Gelo
MAP_T1	Área de Guerras de Guilds
MAP_T2	Área de Guerras de Guilds
MAP_T3	Área de Guerras de Guilds
MAP_T4	Área de Guerras de Guilds
MAP_TEMPLE	Templo Miokio
MAP_THUNDER	Montanhas Trovão
MAP_TREE	Floresta Gwimok
MAP_TRENT	Floresta Fantasma
MAP_TRENT02	Bosque Rubro
MAP_TRENT02_A	Bosque Rubro
MAP_TRENT_A	Floresta Gwimok
MAP_WEDDING_01	Mapa de Casamento
MAP_WL	Deserto Sawan
MAP_WL_01	Planície Seca
MESSENGER_ADD_FRIEND	Adicionar contato
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s quer adicionar você como contato	
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Você aceita?	
MESSENGER_DO_YOU_DELETE	Deseja realmente remover o contato?	
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Deseja excluir o número do celular?	
MESSENGER_EMPTY_LIST	Vazio	
MESSENGER_FAMILY	Família	
MESSENGER_FRIEND	Amigos	
MESSENGER_GUILD	Guilda	
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Adicione o número de validação enviado para o seu celular.	
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Adicione o número de validação.	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Adicione o número do celular para envio de SMS.	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Você quer adicionar o número agora?	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Adicione o número do celular.	
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Enviar mensagem
METIN_TEST	
MINIMAP	Mini-mapa	
MINIMAP_CANNOT_SEE	Mapa indisponível	
MINIMAP_CAN_NOT_SHOW_AREAMAP	Mapa indisponível
MINIMAP_DEC_SCALE	Menos Zoom	
MINIMAP_INC_SCALE	Mais Zoom	
MINIMAP_OBSERVER_COUNT	%d espectadores	
MINIMAP_SHOW_AREAMAP	Mostrar Mapa	
MINUTE	m
MONETARY_UNIT0	Gold	
MONEY_INPUT_DIALOG_SELLPRICE	Preço do item: 	
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Não é possível mover o item enquanto a Loja Particular estiver aberta.	
MUSIC_EMPTY_MUSIC_LIST	Não contém BMG.	
MUSIC_METIN2_DEFAULT_THEMA	BGM Padrão Metin 2	
MUSIC_NOT_SELECT_MUSIC	Não está selecionado um arquivo de música.	
NEEFD_REST	Necessita descanso.	
NOT_YET_SUPPORT	Não apresenta suporte.	
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Não é possível selecionar esse modo caso não seja membro de uma Guilda.	
OPTION_PVPMODE_NOT_SUPPORT	Não é possível utilizar essa configuração do modo PvP.	
OPTION_PVPMODE_PROTECT	É necessário estar no nível %d para configurar o modo PvP.	
PARTY_BONUS_ATTACKER	Ataque: +%d	SA
PARTY_BONUS_BERSERKER	Velocidade de Ataque: +%d	SA
PARTY_BONUS_BUFFER	Duração de Skills: +%d	SA
PARTY_BONUS_DEFENDER	Chance de +%d%% de bloquear ataque normal	SA
PARTY_BONUS_EXP	Experiência bônus: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Chance de +%d%% de recuperar HP ao derrotar um inimigo	SA
PARTY_BONUS_TANKER	HP máximo: +%d	SA
PARTY_BREAK_UP	Encerrar grupo
PARTY_DO_YOU_ACCEPT	 deseja participar do seu grupo. Você aceita? 	
PARTY_DO_YOU_JOIN	Você aceita o convite para grupo?	
PARTY_EXP_DISTRIBUTION_MODE	Divisão de Exp:	
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Nível	
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Recebe mais experiência o personagem de maior nível	
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Igual	
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Todos recebem a mesma quantidade de experiência	
PARTY_HEAL_ALL_MEMBER	Recupera completamente.	
PARTY_INCREASE_AREA_150	Aumenta o alcance do grupo em 1.5 vezes	SNA
PARTY_INCREASE_AREA_200	Aumenta o alcance do grupo em 2 vezes	SNA
PARTY_LEAVE	Sair do grupo	
PARTY_MEMBER_OFFLINE	[Offline]	
PARTY_RECALL_MEMBER	Convocar membro do grupo	
PARTY_REQUEST_DENIED	Você recusou o convite do grupo.	
PARTY_SET_ATTACKER	Selecionar como Ofensivo	
PARTY_SET_BERSERKER	Selecionar como Ágil
PARTY_SET_BUFFER	Selecionar como Suporte	
PARTY_SET_DEFENDER	Selecionar como Defensivo	
PARTY_SET_NORMAL	Cancelar a seleção
PARTY_SET_SKILL_MASTER	Selecionar como Místico	
PARTY_SET_TANKER	Selecionar como Resistente	
PARTY_SKILL_ATTACKER	Ataque: +%.0f	
PARTY_SKILL_BERSERKER	Velocidade de Ataque: +%.0f	
PARTY_SKILL_BUFFER	Duração de Skills Passivas: +%.0f	
PARTY_SKILL_DEFENDER	Resistência à Dano Básico +%.0f%% 
PARTY_SKILL_SKILL_MASTER	Chance de recuperar HP ao derrotar um inimigo +%.0f%%
PARTY_SKILL_TANKER	HP máximo: +%.0f	
PASSWORD_TITLE	Senha do armazém
PICK_ITEM_TITLE	Item
PICK_MONEY_TITLE	Gold	
PRIVATE_SHOP_CANNOT_SELL_ITEM	Não é possível a venda do item na Loja Particular.	
PRIVATE_SHOP_CLOSE_QUESTION	Deseja fechar a Loja Particular?	
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nome da Loja Particular:	
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Preço	
PVP_LEVEL0	Admirável	
PVP_LEVEL1	Nobre	
PVP_LEVEL2	Integro	
PVP_LEVEL3	Valioso	
PVP_LEVEL4	Civil	
PVP_LEVEL5	Malfeitor	
PVP_LEVEL6	Marginal	
PVP_LEVEL7	Criminoso	
PVP_LEVEL8	Vilão	
PVP_MODE_GUILD	Modo PvP Guilda selecionado.	
PVP_MODE_KILL	Modo PvP Livre selecionado.	
PVP_MODE_NORMAL	Modo PvP Pacífico selecionado.
PVP_MODE_PROTECT	PvP desativado.	
PVP_MODE_REVENGE	Modo PvP Honra selecionado.
PVP_OPTION_KILL	Livre	
PVP_OPTION_NORMAL	Normal
PVP_OPTION_PROTECT	Pacífico	
PVP_OPTION_REVENGE	Honra
QUEST_APPEND	Uma nova quest foi adicionada.	
QUEST_MIN	m
QUEST_SEC	s	
QUEST_TIMEOVER	Tempo esgotado	
QUEST_UNLIMITED_TIME	Sem limite de tempo	
QUICKSLOT_REGISTER_DISABLE_ITEM	Este item não pode ser adicionado na barra de atalhos.	
RECEIVE_MESSAGE	%s enviou uma mensagem.	
REFINE_COST	Custo da refinação: %d Gold	
