ACCEPT	Kabul Et.
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile (F5)
GUILD_BUILDING_STONE	Taş
GUILD_BUILDING_TITLE	Lonca Meclis Binaları
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düşen Kaynak
GUILD_GEM	Değerli Taş
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_DELETE	Kov
GUILD_GRADE_PERMISSION_JOIN	Davet
GUILD_GRADE_PERMISSION_NOTICE	Mesaj yaz
GUILD_GRADE_PERMISSION_SKILL	Beceriler
GUILD_GRADE_RANK	Sıra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaş İlanı
GUILD_INFO_ENEMY_GUILD	Düşman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayısı
GUILD_INFO_NAME	Lonca İsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatırım
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	İmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_MARK	Lonca İmzası
GUILD_MEMBER_JOB	Sınıf
GUILD_MEMBER_KNIGHT	Lider
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_RANK	Sıra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatırım
GUILD_METIN_STONE	Ruh Taşı
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_WAR_ACCEPT	Savaş İlanı Kabulü
GUILD_WAR_BATTLE_TYPE	Savaş Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaşı İlanı
GUILD_WAR_ENEMY	Düşman
GUILD_WAR_NORMAL	Alan
GUILD_WAR_WARP	Arena
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taşı
GUILD_WITHDRAW	Geri Çek
HELP_ATTACK_KEY	Saldır: sol fare tuşu veya boşluk tuşu ile
HELP_CHANGE_PK_MODE	Saldırı modunu değiştir: sol fare tuşu ayarını değiştir
HELP_CHARACTER_BUTTON1	(Karakter Penceresi, Envanter Penceresi,
HELP_CHARACTER_BUTTON2	Arkadaş Listesi ve Seçenekler)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamera görüntüsü: orta veya sağ fare tuşu ile
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamera görüntüsü: sağ veya orta fare tuşu ile
HELP_EXP	Tecrübe
HELP_FURY	Oyun Nesnet Marketi
HELP_GUILD_WINDOW	Lonca Penceresini aç: Alt + G tuşları ile
HELP_HELP	Yardım göster: H ile
HELP_HP	Hayat Puanı (HP)
HELP_MESSENGER_WINDOW	Arakadaş Listesini aç: Alt + M tuşları  ile
HELP_MOUSE_LEFT	Sol mouse tuşunun işlevi
HELP_MOUSE_RIGHT	Sağ mouse tuşunun işlevi
HELP_MOVE_KEY	Kumanda: W, S, A, D tuşları ve ok tuşları ile
HELP_OPEN_CHARACTER	Karakter Penceresini aç: C tuşu ile
HELP_OPEN_CHAT	Sohbet Penceresini aç: Giriş tuşu ile
HELP_OPEN_INVENTORY	Envanter Penceresini aç: I tuşu ile
HELP_OPEN_LOG	Sohbet protokolünü (Log) aç: L tuşu ile
HELP_OPEN_MINIMAP	Küçük Haritayı aç: Shift + M tuşları ile
HELP_OPEN_QUEST	Görev Penceresini aç: N tuşu ile
HELP_OPEN_SKILL	Beceri Penceresini aç: V tuşu ile
HELP_OPEN_WHISPER	Fısıltı Penceresini aç: üst karakter + giriş tuşu ile
HELP_OPEN_ZONEMAP	Genel Görünüm Haritası'nı aç: M tuşu ile
HELP_PICK_ITEM	Nesneleri topla: ^ , Y veya sol fare tuşu ile
HELP_QUICKSLOT	Hızlı Erişim Alanları
HELP_SCREEN_CAPTURE	Ekran görüntüsünü kaydet: Yazdır veya Print tuşu ile ("Metin2\screenshot" dosyası altında kaydedilecek)
HELP_SHOW_ALL_NAME	İsimleri göster: Alt tuşu ile
HELP_SP	Zihin Puanı (SP)
HELP_SYSTEM_BUTTON	Sistem Tuşları
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Envanter
INVENTORY_TITLE	Envanter
LOAD_ERROR	Dosya hasar görmüş. Lütfen yenisini yükleyiniz. Şimdi ESC tuşuna basınız .
LOGIN_CONNECT	Bağlan
LOGIN_CONNECTING	Servera bağlanacaksınız.
LOGIN_DEFAULT_SERVERADDR	Server ismi, Kanal 1
LOGIN_EXIT	Çıkış
LOGIN_ID	Kullanıcı adı
LOGIN_PASSWORD	Şifre
LOGIN_SELECT_BUTTON	Seç
LOGIN_SELECT_EXIT	Çıkış
LOGIN_SELECT_TITLE	Server Seç
MALL_PASSWORD_TITLE	şifre
MALL_TITLE	Nesne Marketi Deposu
MARKLIST_REFRESH	Yenile
MARKLIST_TITLE	Lonca imzasını kaydet
MESSAGE	Bu bir Mesaj
MESSENGER_ADD_FRIEND	Arkadaş Ekle
MESSENGER_DELETE_FRIEND	Arkadaş Sil
MESSENGER_MOBILE	Metin Mesajı Gönder
MESSENGER_OPEN_GUILD	Lonca Penceresini Aç
MESSENGER_TITLE	Arkadaşlar
MESSENGER_WHISPER	Fısıltı
MINIMIZE	Küçült
MOUSEBUTTON_ATTACK	Saldırı
MOUSEBUTTON_AUTO_ATTACK	Otomatik Saldırı
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Beceriler
MUSICLIST_TITLE	Müzik Seçimi
NO	Hayır
OK	Tamam
OPTION_ALWAYS_SHOW_NAME	Isim
OPTION_ALWAYS_SHOW_NAME_OFF	Sınırlı
OPTION_ALWAYS_SHOW_NAME_ON	Her Zaman
OPTION_BLOCK	Engelle
OPTION_BLOCK_EXCHANGE	Ticaret
OPTION_BLOCK_FRIEND	Arkadaşlar
OPTION_BLOCK_GUILD	Lonca
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Rica
OPTION_BLOCK_WHISPER	Fısıltı
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Uzak Mesafe
OPTION_CAMERA_DISTANCE_SHORT	Kısa Mesafe
OPTION_DELETE_MOBILE_BUTTON	Cep Telefonu Numaranı Sil
OPTION_EFFECT	Önemli Bilgiler
OPTION_FOG	Sis
OPTION_FOG_DENSE	Yoğun
OPTION_FOG_LIGHT	Hafif
OPTION_FOG_MIDDLE	Normal
OPTION_INPUT_MOBILE_BUTTON	Cep Telefonu Numarası Gir
OPTION_MOBILE	Cep Telefonu
OPTION_MUSIC	Müzik
OPTION_MUSIC_CHANGE	Değiştir
OPTION_MUSIC_DEFAULT_THEMA	Metin2 Standart Müziği
OPTION_NAME_COLOR	Renk ismi
OPTION_NAME_COLOR_EMPIRE	Ülke Rengi
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	PvP Modu
OPTION_PVPMODE_FREE	Serbest
OPTION_PVPMODE_FREE_TOOLTIP	Tüm oyunculara saldırma izni var.
OPTION_PVPMODE_GUILD	Lonca
OPTION_PVPMODE_GUILD_TOOLTIP	Lonca üyeleri hariç tüm oyunculara saldırma izni var.
OPTION_PVPMODE_PEACE	Barış
OPTION_PVPMODE_PEACE_TOOLTIP	Kendi krallığının oyuncularına saldıramazsın.
OPTION_PVPMODE_REVENGE	Düşman
OPTION_PVPMODE_REVENGE_TOOLTIP	Sadece farklı ülkelerden olanlara saldırabilirsiniz.
OPTION_SALESTEXT	Market İsmi
OPTION_SALESTEXT_VIEW_OFF	Gizle
OPTION_SALESTEXT_VIEW_ON	Göster
OPTION_SOUND	Efektler
OPTION_TARGET_BOARD	Hedef Tahtası
OPTION_TARGET_BOARD_NO_VIEW	Kapat
OPTION_TARGET_BOARD_VIEW	Göster
OPTION_TILING	Grafik Deposu
OPTION_TILING_APPLY	Uygula
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_VIEW_CHAT	Sohbet Satırı
OPTION_VIEW_CHAT_OFF	Gizle
OPTION_VIEW_CHAT_ON	Göster
PARTY_MEMBER_INFO_NAME	Grup Üyesinin İsmi
PASSWORD_DESC_1	Depoyu açmak için,
PASSWORD_DESC_2	şifreyi gir.
PASSWORD_DESC_3	Şifreni değiştirdin mi?
PASSWORD_DESC_4	Değiştirmediysen şifren şudur: "000000".
PASSWORD_DESC_5	Şifreni depoda değiştir.
PASSWORD_TITLE	Şifre Kaydetme
PICK_MONEY_TITLE	Bölmek
PRIVATE_SHOP_CLOSE_BUTTON	Dükkanı kapat
PRIVATE_SHOP_NAME	Dükkan ismi
PRIVATE_SHOP_TITLE	Özel dükkan aç
REFINE_COST	Yükseltme Ücreti: 0 Yang
REFINE_INFO	Başarılı bir geliştirme olasılığı: %100
REFINE_TTILE	Yükseltme
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Burada yeniden başla
RESTART_TOWN	Şehirde yeniden başla
SAFE_CHANGE_PASSWORD	Şifre Değiştir
SAFE_TITLE	Depo
SELECT_ATT_GRADE	STR
SELECT_CREATE	Oluştur
SELECT_DELETE	Sil
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Krallık İsmi
SELECT_EXIT	Çıkış
SELECT_HP	HP
SELECT_LEVEL	Seviye
SELECT_METIN_STONE_TITLE	Ruh Taşı Seç
SELECT_NAME	Isim
SELECT_NO_GUILD	Lonca Yok
SELECT_PLAYTIME	Oyun Süresi
SELECT_SELECT	Başla
SELECT_SP	SP
SHOP_BUY	Satın Al
SHOP_SELL	Sat
SHOP_TITLE	Dükkan
SKILL_SUPPORT_TITLE	Standart Beceriler
STEP_SELECT	Saflık Derecesi
STRENGTH_SELECT	Seviye
SYSTEMOPTION_TITLE	Sistem Seçenekleri
SYSTEM_CHANGE	Karakter Değişikliği
SYSTEM_EXIT	Oyun Sonu
SYSTEM_HELP	Yardım
SYSTEM_LOGOUT	Çıkış
SYSTEM_MALL	Nesne Market
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Sohbet Penceresi [Enter]
TASKBAR_DISABLE	Devre dışı
TASKBAR_DRAGON_SOUL	Ejderha Taşı Simyası
TASKBAR_EXPAND	Paneli genişlet
TASKBAR_INVENTORY	Envanter [I]
TASKBAR_MESSENGER	Arkadaşlar [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Sonraki Hızlı Giriş Alanı [Shift+Number, Alt]
TASKBAR_PREV_QUICKSLOT	Önceki Hızlı Giriş Alanı[Shift+Number]
TASKBAR_SYSTEM	Seçenekler[ESC]
WHISPER_BAN	Engelle
WHISPER_NAME	Fısıltı
WHISPER_REPORT	
WHISPER_SEND	Gönder
YES	Evet
ZONE_MAP	Genel Görünüm Haritası
