AFF_LOVE_POINT	Sevgi Puanı: %%%d
DO_YOU_SELL_ITEM2	Satmak istiyor musun? Adet: %s  Eşya: %s  Fiyat: %s
DRAGON_SOUL_CANNOT_REFINE	Bu ejderha taşı arındırılamaz.
DRAGON_SOUL_CANNOT_REFINE_MORE	Bu ejderha taşı en yüksek seviyeye ulaştı bile.
DRAGON_SOUL_EQUIP_WARNING1	Bir ejderha taşını tekrar çıkartmak zor.
DRAGON_SOUL_EQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_EXPIRED	Süresi geçmiş ejderha taşı
DRAGON_SOUL_INVALID_DRAGON_SOUL	Yanlış ejderha taşı.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Bu ejderha taşı değil.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Bu doğru ejderha taşı değil.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Arındırma için yeterli malzemen yok.
DRAGON_SOUL_STEP_LEVEL1	Saflık: mat,
DRAGON_SOUL_STEP_LEVEL2	Saflık: parlak,
DRAGON_SOUL_STEP_LEVEL3	Saflık: tertemiz,
DRAGON_SOUL_STEP_LEVEL4	Saflık: mükemmel,
DRAGON_SOUL_STEP_LEVEL5	Saflık: kusursuz,
DRAGON_SOUL_STRENGTH	Seviye +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Ejderha taşı kırılabilir.
DRAGON_SOUL_UNEQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_UNMATCHED_SLOT	Bu yanlış boşluk.
DRAGON_SOUL_UNQUALIFIED	Ejderha taşı simyasını henüz kullanamazsın.
DROP_ITEM_FAILURE_EQUIP_ITEM	Giyilen eşyayı bırakamazsın.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Özel dükkan açtığın sürece nesne düşüremiyorsun.
DROP_MONEY_FAILURE_1000_OVER	En fazla 999 Yang bırakabilirsin.
EMOTION_ANGRY	Can Sıkıcı
EMOTION_ATTRACTIVE	Baştan Çıkarma
EMOTION_BANTER	Küçümseme
EMOTION_CHEERS_1	Hoşça Kal 1
EMOTION_CHEERS_2	Hoşça Kal 2
EMOTION_CHEERUP	Alkış
EMOTION_CHOOSE_ONE	Bir hedef seç.
EMOTION_CLAP	Alkışlar
EMOTION_CLAP_KISS	Öpücük
EMOTION_CONGRATULATION	Onaylama
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Affetme
EMOTION_FRENCH_KISS	Fransız öpücüğü
EMOTION_JOY	Neşe
EMOTION_SAD	Üzgün
EMOTION_SHY	Reddetme
EMOTION_SLAP	Çak
EMPIRE_A	Shinsoo Krallığı
EMPIRE_B	Chunjo Krallığı
EMPIRE_C	Jinno Krallığı
EXCHANGE_CANNOT_GIVE	Bu nesneyi alışverişte kullanamazsın.
EXCHANGE_CANT_EDIT_MONEY	Toplamı şu anda değiştiremezsin.
EXCHANGE_FAILURE_EQUIP_ITEM	Giyilen eşyayı takas edemezsin.
EXCHANGE_MONEY	Toplam
EXCHANGE_TITLE	%s ile alışveriş
FISHING_FAILURE	Yemi kaybettin.
FISHING_NOTIFY1	%s oltaya takılmış gibi görünüyor.
FISHING_NOTIFY2	Oltaya %s takılmış gibi görünüyor.
FISHING_SUCCESS1	%s !
FISHING_SUCCESS2	Suda %s tuttun!
FISHING_UNKNOWN	Oltaya birşey takıldı ama ne olduğu belli değil.
FISHING_WRONG_PLACE	Burada balık tutamazsın.
FOR_FEMALE	kadın için
FOR_MALE	erkek için
GAME_CANNOT_MINING	At üstündeyken madencilik yapamazsın.
GAME_CANNOT_PICK_ITEM	Kazanmadığın için bu nesneyi toplayamazsın.
GAME_INIT_ERROR_CURSOR	imleç tanımlanamadı.
GAME_INIT_ERROR_DIRECTX	Oyunun çalisabilmesi için DirectX 8.1 kurulu olması gerekiyor.\nDirectX 8.1 veya daha yüksek bir sürümünü kur.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Grafik kartı bulunamadı.\nEğer mevcutsa, VGA kart sürücünüzün doğru yüklenmiş olup olmadığını kontrol edin.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafik kartı kurulamadı. \n Eğer VGA kartınız varsa kontrol edin. \n Alternatif olarak, donanım hızlandırıcınızı aktif edebilirsiniz. \n (Donanım Hızlandırıcınızı maximuma ayarlayın \n Control Panel->Display->Settings->Advanced->Troubleshoot)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Bilgisayarınızdaki grafik kartı Windows 32bit Modunu desteklemiyor.\n16bit Modunu veya tam ekran seçeneğini kullanınız.
GAME_INIT_ERROR_ITEM_PROTO	Nesne bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_MAIN_WINDOW	Anayapı oluşturulamıyor.
GAME_INIT_ERROR_MOB_PROTO	Canavar bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_NETWORK	Bağlantı kurulamıyor.\ninternet bağlantınızı kontrol ediniz.
GAME_PICK_MONEY	%d Yang Kazandın.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Yükseklik 128 Pixel değil
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Yükseklik 12 Pixel değil
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Genislik 16 Pixel değil
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Genişlik 64 Pixel değil
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Oyun bu resmi desteklemiyor.
GUILDMARK_UPLOADER_ERROR_PATH	Bilgiyi metin2/upload klasörüne taşı.
GUILDMARK_UPLOADER_ERROR_SELECT	Resim dosyası seçilmedi.
GUILDWAR_CTF_TITLE	Bayrak ele geçirildi.
GUILDWAR_NORMAL_TITLE	Meydan Savaşı
GUILDWAR_WARP_TITLE	Arena Savaşı
GUILD_BUILDING_GRADE	Sıralama
GUILD_BUILDING_NAME	Binanin ismi
GUILD_CANNOT_HEAL_GSP_ANYMORE	Ejderha Hayaleti Enerjisi tamamen yüklenmiş durumda.
GUILD_COMMENT	Yaz
GUILD_CREATE_ERROR_INSULT_NAME	Lonca adı hatalı
GUILD_DEFAULT_GRADE	Lonca üyeleri
GUILD_DELETE	Sil
GUILD_DEPOSIT	Depozit
GUILD_DO_YOU_HEAL_GSP	%d Yang kullanarak %d Ejderha Hayaleti yüklemek ister misin?
GUILD_DO_YOU_JOIN	  seni davet ediyor. Loncaya katılmak istiyor musun?
GUILD_EMPTY_AREA	Boş alan
GUILD_FACILITY	Ek bina
GUILD_GEM	Değerli taş
GUILD_HEADQUARTER	Ana bina
GUILD_HEAL_GSP	Ejderha Hayaleti Yükle
GUILD_INFO_ENEMY_GUILD_EMPTY	Boş
GUILD_MARK_NOT_ENOUGH_LEVEL	En az 3. seviye gerekir
GUILD_NAME	Lonca adı
GUILD_NOT_ENOUGH_MATERIAL	Bu bina için yeterli inşaat malzemesine sahip değilsin.
GUILD_NOT_ENOUGH_MONEY	Bu bina için yeterli Yang'a sahip değilsin.
GUILD_NO_NOTICE_PERMISSION	Duyuru yapmak için gerekli iznin yok.
GUILD_OBJECT	Nesne
GUILD_OFFER_EXP	Tecrübe yatır
GUILD_SHORT_EXP	Yeterli Tecrübe Puanı yok.
GUILD_TILE_BASEINFO	Temel bilgiler
GUILD_TILE_BOARD	Kara tahta
GUILD_TILE_GRADE	Yönetici Pozisyonu
GUILD_TILE_INFO	Lonca bilgileri
GUILD_TILE_MEMBER	Lonca üyeleri
GUILD_TILE_SKILL	Lonca becerisi
GUILD_REMOVE_MEMBER_QUESTION	Bu üyeyi kaldırmak mı istiyorsun?
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Lonca Savaşı Bölgesi
GUILD_WAR2	Lonca Savaşı Bölgesi
GUILD_WAR3	Lonca Savaşı Bölgesi
GUILD_WAR4	Lonca Savaşı Bölgesi
GUILD_WAR_LIMIT_30MIN	Zaman: 30 dakika
GUILD_WAR_REWARD_POTION	Ödül: Yenen iksir kazanacak
GUILD_WAR_USE_BATTLE_MAP	Yer: Lonca Savaşı Arenası
GUILD_WAR_USE_NORMAL_MAP	Yer: Normal Harita
GUILD_WAR_WIN_CHECK_SCORE	Savaşı en yüksek skor kazanır
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Düşmanın bayrağını ele geçir
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ve kendi üssüne götür.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Kazanmak için tüm düşmanları öldür.
GUILD_WITHDRAW	Geri çekil.
GUILD_YOU_DO_NOT_JOIN	Bir Loncaya üye değilsin.
HORSE_HEALTH0	Ölü
HORSE_HEALTH1	Aç kalmış halde
HORSE_HEALTH2	Acıkmış halde
HORSE_HEALTH3	Tok
HORSE_LEVEL1	Normal at
HORSE_LEVEL2	Savaş Atı
HORSE_LEVEL3	Asker at
HOUR	Saat
HOW_MANY_ITEM_DO_YOU_DROP1	%s atmak istiyor musun?
HOW_MANY_ITEM_DO_YOU_DROP2	%s %d atmak istiyor musun?
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Hesap ayarlarınızdaki silme-kodunu buraya giriniz.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Karakteri sil
INVENTORY_REALLY_USE_ITEM	Eşyayı bu nesneye uygula?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Amatör Ninja
JOB_ASSASSIN1	Ninjalarin Gücü
JOB_ASSASSIN2	Ölümsüz
JOB_SHAMAN	Şaman
JOB_SHAMAN0	Amatör şaman
JOB_SHAMAN1	Ejderhanın Gücü
JOB_SHAMAN2	Şimşek Gücü
JOB_SURA	Sura
JOB_SURA0	Amatör Sura
JOB_SURA1	Büyülü Silah Gücü
JOB_SURA2	Kara Büyünün Gücü
JOB_WARRIOR	Savaşçı
JOB_WARRIOR0	Amatör Savaşçı
JOB_WARRIOR1	Bedensel Güç
JOB_WARRIOR2	Zihinsel Güç
LEFT_TIME	Kalan Süre
LOCALE_CHANGE_CONFIRM	Dili %s olarak değiştirip oyunu yeniden yükleyeyim mi?
LOGIN_CONNECT_FAILURE	Sunucuya bağlanırken hata
LOGIN_CONNECT_SUCCESS	Sunucuya bağlandın.
LOGIN_CONNETING	Sunucuya bağlanıyorsun...
LOGIN_FAILURE_ALREAY	Hesap zaten bağlı.
LOGIN_FAILURE_BE_SAME_KEY	Kayıt problemi
LOGIN_FAILURE_BLOCK_ID	Hesabınız engellendi!
LOGIN_FAILURE_BLOCK_LOGIN	Lütfen başka server seç!
LOGIN_FAILURE_NOBILL	Hesabınızın oyun süresi yok.
LOGIN_FAILURE_NOT_AVAIL	Hesabınız kullanılamaz.
LOGIN_FAILURE_NOT_EXIST_ID	Hesap ismi veya şifre yanlış.
LOGIN_FAILURE_REPAIR_ID	Bu hesap için, nesneler yüklendi.
LOGIN_FAILURE_SAMELOGIN	Biri senin hesabınla giriş yaptı.
LOGIN_FAILURE_SHUTDOWN	Sunucu henüz açılmadı.
LOGIN_FAILURE_TOO_MANY_USER	Çok fazla kullanıcı bağlı olduğu için bağlanamazsınız.
LOGIN_FAILURE_UNKNOWN	Bilinmeyen bir nedenle kaydolamadınız.
LOGIN_FAILURE_WEB_BLOCK	Web sitesine erişiminiz engellendi. Lütfen E-Postanızı kontrol ediniz.
LOGIN_FAILURE_WRONG_PASSWORD	Hesap ismi veya şifre yanlış.
LOGIN_INPUT_ID	ID nizi yazın.
LOGIN_INPUT_PASSWORD	Şifreyi gir.
LOGIN_PROCESSING	Giriş işlemi yapılıyor...
MALL_CANNOT_INSERT	Nesne için yeriniz yok.
MALL_PASSWORD_TITLE	Şifre
MAP_A1	Yongan Bölgesi
MAP_A2	Seungryong Vadisi
MAP_A2_1	
MAP_A3	Yayang Bölgesi
MAP_AG	Jungrang
MAP_B1	Joan Bölgesi
MAP_B2	Imji Vadisi
MAP_B3	Bokjung Bölgesi
MAP_BATTLE_FIELD	Savaş Bölgesi
MAP_BAY	Nefrit Körfezi
MAP_BAYBLACKSAND	Nefrit Körfezi
MAP_BG	Waryong
MAP_C1	Pyungmoo Bölgesi
MAP_C2	Bangsan Vadisi
MAP_C3	Bakra Bölgesi
MAP_CAPE	Ejderha Ateşi Burnu
MAP_CAPEDRAGONHEAD	Ejderha Ateşi Burnu
MAP_CG	Imha
MAP_CZ_DUNGEON	Zodyak Tapınağı
MAP_DAWN	Gautama Uçurumu
MAP_DAWNMISTWOOD	Gautama Uçurumu
MAP_DAWNMIST_DUNGEON_01	Efsunlu Orman
MAP_DESERT	Yongbi Çölü
MAP_DEVILCATACOMB	Şeytan Katakombu
MAP_DEVILTOWER1	Şeytan Kulesi
MAP_DUEL	Eğitim Dövüşü Arenası
MAP_E	Koloni
MAP_EMPIREWAR01	Kale Savaşı
MAP_EMPIREWAR02	Kale Savaşı
MAP_EMPIREWAR03	Kale Savaşı
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	İmparatorluk Savaşı - Çöl Diyarı
MAP_HOLYPLACE_FLAME	İmparatorluk Savaşı - Ateş Diyarı
MAP_HOLYPLACE_ICE	İmparatorluk Savaşı - Buz Dağı
MAP_MILGYO	Hwang Tapınağı
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Yıldırım Dağları
MAP_MT_TH_DUNGEON_01	Ochao Tapınağı
MAP_NUSLUCK	Devler Diyarı
MAP_NUSLUCK01	Devler Diyarı
MAP_N_DESERT_01	Yongbi Çölü
MAP_N_DESERT_02	
MAP_N_FLAME_01	Ateş Diyarı
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Meley'in İni
MAP_N_FLAME_DUNGEON_01	Kırmızı Ejderha Kalesi
MAP_N_SNOWM_01	Sohan Dağı
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemere Gözlemevi
MAP_N_THREEWAY	Seungryong Vadisi
MAP_OXEVENT	OX-yarışması
MAP_PATHWAY_DESERT_01	İmparatorluk Savaşı - Çöl Diyarı
MAP_PATHWAY_DESERT_02	İmparatorluk Savaşı - Çöl Diyarı
MAP_PATHWAY_DESERT_03	İmparatorluk Savaşı - Çöl Diyarı
MAP_PATHWAY_FLAME_01	İmparatorluk Savaşı - Ateş Diyarı
MAP_PATHWAY_FLAME_02	İmparatorluk Savaşı - Ateş Diyarı
MAP_PATHWAY_FLAME_03	İmparatorluk Savaşı - Ateş Diyarı
MAP_PATHWAY_ICE_01	İmparatorluk Savaşı - Buz Dağı
MAP_PATHWAY_ICE_02	Oyun Parkı
MAP_PATHWAY_ICE_03	İmparatorluk Savaşı - Buz Dağı
MAP_SKELTOWER	Gumsan Kulesi
MAP_SKIPIA_DUNGEON_01	Sürgün Mağarası
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Sürgün Mağarası 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Ejderha Tapınağı
MAP_SKIPIA_DUNGEON_BOSS_1	Örümcek Zindanı 1
MAP_SKIPIA_DUNGEON_BOSS_2	Örümcek Zindanı 2
MAP_SKIPIA_DUNGEON_BOSS_3	Örümcek Zindanı 3
MAP_SNOW	Sohan Dağı
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Örümcek Zindanı 1
MAP_SPIDERDUNGEON_02	Örümcek Zindanı 2
MAP_SPIDERDUNGEON_02_1	Örümcek Zindanı 2
MAP_SPIDERDUNGEON_03	Örümcek Zindanı 3
MAP_SUNGZI	İmparatorluk Savaşı
MAP_SUNGZI_DESERT_01	İmparatorluk Savaşı - Çöl Diyarı
MAP_SUNGZI_DESERT_HILL_01	İmparatorluk Savaşı - Çöl Diyarı
MAP_SUNGZI_DESERT_HILL_02	İmparatorluk Savaşı - Çöl Diyarı
MAP_SUNGZI_DESERT_HILL_03	İmparatorluk Savaşı - Çöl Diyarı
MAP_SUNGZI_FLAME_HILL_01	İmparatorluk Savaşı - Ateş Diyarı
MAP_SUNGZI_FLAME_HILL_02	İmparatorluk Savaşı - Ateş Diyarı
MAP_SUNGZI_FLAME_HILL_03	İmparatorluk Savaşı - Ateş Diyarı
MAP_SUNGZI_SNOW	İmparatorluk Savaşı - Buz Dağı
MAP_SUNGZI_SNOW_PASS01	İmparatorluk Savaşı - Buz Dağı
MAP_SUNGZI_SNOW_PASS02	İmparatorluk Savaşı - Buz Dağı
MAP_SUNGZI_SNOW_PASS03	İmparatorluk Savaşı - Buz Dağı
MAP_T1	Lonca Savaşı Bölgesi
MAP_T2	Lonca Savaşı Bölgesi
MAP_T3	Lonca Savaşı Bölgesi
MAP_T4	Lonca Savaşı Bölgesi
MAP_TEMPLE	Hwang Tapınağı
MAP_THUNDER	Yıldırım Dağları
MAP_TREE	Lungsam
MAP_TRENT	Hayalet Ormanı
MAP_TRENT02	Kırmızı Orman
MAP_TRENT02_A	Kızıl Orman
MAP_TRENT_A	
MAP_WEDDING_01	Düğün Köyü
MAP_WL	Yılan Vadisi
MAP_WL_01	Yılan Vadisi
MESSENGER_ADD_FRIEND	Arkadaş ekle
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s seni arkadaş olarak ekledi.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Kabul et?
MESSENGER_DO_YOU_DELETE	Sil?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Cep telefonu numaranızı silmek istiyor musunuz?
MESSENGER_EMPTY_LIST	Boş
MESSENGER_FAMILY	Aile
MESSENGER_FRIEND	Arkadaşlar
MESSENGER_GUILD	Lonca
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Cep telefonunuza gönderilen onay numarasını giriniz.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Onaylama kodunu gir.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Text mesajlarının gönderilmesi için cep telefonu numaranızı giriniz.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Numarayı şimdi girmek istiyor musun?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Cep telefonu numaranızı giriniz.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Mesaj gönder.
METIN_TEST	
MINIMAP	Küçük Haritayı aç
MINIMAP_CANNOT_SEE	Küçük Haritayi göremezsiniz.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Küçük Harita görüntülenemiyor.
MINIMAP_DEC_SCALE	Uzaklaştır
MINIMAP_INC_SCALE	Yakınlaştır
MINIMAP_OBSERVER_COUNT	%d izleyici
MINIMAP_SHOW_AREAMAP	Genel Görünüm Haritası'nı aç
MINUTE	Dakika
MONETARY_UNIT0	Yang
MONEY_INPUT_DIALOG_SELLPRICE	Satış Fiyatı:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Özel depo açtığın sürece nesneleri başka yere taşıyamazsın.
MUSIC_EMPTY_MUSIC_LIST	Fon müziği yok.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 Standart Müziği
MUSIC_NOT_SELECT_MUSIC	Hiç Müzik dosyası seçilmedi.
NEEFD_REST	Önce dinlenmelisin.
NOT_YET_SUPPORT	Desteklenmiyor
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Herhangi bir Loncada değilken Lonca Modunu aktif edemezsiniz.
OPTION_PVPMODE_NOT_SUPPORT	PvP Modunda bu biçimi seçemezsiniz.
OPTION_PVPMODE_PROTECT	PvP-Modu'nu değiştirmek için ulaşmış olman gereken asgari seviye: %d.
PARTY_BONUS_ATTACKER	Saldırı Değeri: +%d	SA
PARTY_BONUS_BERSERKER	Saldırı Hızı: +%d	SA
PARTY_BONUS_BUFFER	Beceri Süresi: +%d	SA
PARTY_BONUS_DEFENDER	Savunma: +%d	SA
PARTY_BONUS_EXP	EXP: %%%d	SA
PARTY_BONUS_SKILL_MASTER	Max. SP: +%d	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Grubu sil
PARTY_DO_YOU_ACCEPT	  grubunuza katılmak istiyor.
PARTY_DO_YOU_JOIN	 seni grubuna davet ediyor. Kabul etmek istiyor musun?
PARTY_EXP_DISTRIBUTION_MODE	EXP paylaşımı
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	seviyeye bağlı
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Yüksek seviyeli grup üyeleri daha fazla EXP kazanıyor.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Eşit
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tüm grup üyeleri aynı EXP i alır.
PARTY_HEAL_ALL_MEMBER	Her şeyi yükle.
PARTY_INCREASE_AREA_150	Grup kuruluş faktör aralığı 1,5.	SNA
PARTY_INCREASE_AREA_200	Grup kuruluş faktör aralığı 2.	SNA
PARTY_LEAVE	Grubu terket
PARTY_MEMBER_OFFLINE	[Çevrimdışı]
PARTY_RECALL_MEMBER	Grup üyesini çağır.
PARTY_REQUEST_DENIED	Başvurun reddedildi.
PARTY_SET_ATTACKER	Saldırı gücü olarak belirle
PARTY_SET_BERSERKER	Öfkeli olarak belirle
PARTY_SET_BUFFER	Tampon olarak belirle.
PARTY_SET_DEFENDER	Savunma gücü olarak belirle.
PARTY_SET_NORMAL	Geri Çekilme Ayarları.
PARTY_SET_SKILL_MASTER	Beceri Master i olarak ayarla.
PARTY_SET_TANKER	Yakın Dövüş Savasçısı olarak belirle.
PARTY_SKILL_ATTACKER	Saldırı gücü olarak temel saldırı değeri +%.0f
PARTY_SKILL_BERSERKER	Öfkeli saldırı hızı +%.0f
PARTY_SKILL_BUFFER	Tampon Beceri Süresi +%.0f
PARTY_SKILL_DEFENDER	Savunmacıların Savunması +%.0f
PARTY_SKILL_SKILL_MASTER	Max. SP Beceri Masterı +%.0f
PARTY_SKILL_TANKER	Max. HP Yakın Dövüş Saldırı Gücü +%.0f
PASSWORD_TITLE	Depo Şifresi
PICK_ITEM_TITLE	Eşya No
PICK_MONEY_TITLE	Toplam
PRIVATE_SHOP_CANNOT_SELL_ITEM	Bu eşyayı özel depoda satamazsın.
PRIVATE_SHOP_CLOSE_QUESTION	Özel depoyu kapatmak istiyor musun?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Özel deponun ismi
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Fiyat
PVP_LEVEL0	Kahraman
PVP_LEVEL1	Soylu
PVP_LEVEL2	İyi
PVP_LEVEL3	Arkadaşça
PVP_LEVEL4	Tarafsız
PVP_LEVEL5	Agresif
PVP_LEVEL6	Hileli
