ACCEPT	Подтвердить
OPTION_PVPMODE_FREE_TOOLTIP	Вы можете нападать на всех игроков.
OPTION_PVPMODE_GUILD	Гильдия
OPTION_PVPMODE_GUILD_TOOLTIP	Вы можете нападать на всех игроков за исключением членов Гильдии.
OPTION_PVPMODE_PEACE	Мир
OPTION_PVPMODE_PEACE_TOOLTIP	Атака игроков одной империи исключена.
OPTION_PVPMODE_REVENGE	Враждебн
OPTION_PVPMODE_REVENGE_TOOLTIP	Вы можете нападать только на игроков другой рассы.
OPTION_SALESTEXT	Название магазина
OPTION_SALESTEXT_VIEW_OFF	спрятать
OPTION_SALESTEXT_VIEW_ON	показывать
OPTION_SOUND	Звуковые эффекты
OPTION_TARGET_BOARD	Меню
OPTION_TARGET_BOARD_NO_VIEW	Закрыть
OPTION_TARGET_BOARD_VIEW	Показывать
OPTION_VIEW_CHAT	строка чата
OPTION_VIEW_CHAT_OFF	спрятать
OPTION_VIEW_CHAT_ON	показывать
PARTY_MEMBER_INFO_NAME	Имя участника группы
PASSWORD_DESC_1	Введите ваш пароль
PASSWORD_DESC_2	для того, чтобы открыть хранилище.
PASSWORD_DESC_3	Пароль уже изменен?
PASSWORD_DESC_4	Если нет, то ваш пароль: "000000".
PASSWORD_DESC_5	Поменяйте пароль на складе.
PASSWORD_TITLE	Сохраненный пароль
PICK_MONEY_TITLE	Делить
PRIVATE_SHOP_CLOSE_BUTTON	Закрыть лавку
PRIVATE_SHOP_NAME	Имя лавки
PRIVATE_SHOP_TITLE	Открыть частную лавку
REFINE_COST	Затраты  на улучшение: 0 янг
REFINE_INFO	Вероятность успешного улучшения: 100%
REFINE_TTILE	Улучшения
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Начать заново здесь
RESTART_TOWN	Начать заново в городе
SAFE_CHANGE_PASSWORD	сменить пароль
SAFE_TITLE	Хранилище
SELECT_ATT_GRADE	Сила
SELECT_CREATE	Создать
SELECT_DELETE	Удалить
SELECT_DEX_GRADE	Подвижность
SELECT_EMPIRE_NAME	Имя Империи
SELECT_EXIT	Выход
SELECT_HP	Здоровье
SELECT_LEVEL	Уровень
SELECT_METIN_STONE_TITLE	Выбрать Камень духа
SELECT_NAME	Имя
SELECT_NO_GUILD	Нет гильдии
SELECT_PLAYTIME	Игровое время
SELECT_SELECT	Старт
SELECT_SP	Интеллект
SHOP_BUY	Купить
SHOP_SELL	продать
SHOP_TITLE	Магазин
SKILL_SUPPORT_TITLE	Стандартные навыки
STEP_SELECT	Чистота
STRENGTH_SELECT	Уровень
SYSTEMOPTION_TITLE	Системные настройки
SYSTEM_CHANGE	Сменить персонаж
SYSTEM_EXIT	Выйти из игры
SYSTEM_HELP	Помощь
SYSTEM_LOGOUT	Выход
SYSTEM_MALL	Магазин предметов
TASKBAR_CHARACTER	Персонаж  [C/V/B/N]
TASKBAR_CHAT	Окно чата [Enter]
TASKBAR_DISABLE	Неактивно
TASKBAR_DRAGON_SOUL	Алхимия Камней Дракона
TASKBAR_EXPAND	Увеличить окно
TASKBAR_INVENTORY	Инвентарь [I]
TASKBAR_MESSENGER	Друзья [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Следующ. панель быстрого доступа [ Shift+число, Alt]
TASKBAR_PREV_QUICKSLOT	Предыдущ. панель быстрого доступа [Shift+число]
TASKBAR_SYSTEM	Параметры  [ESC]
WHISPER_BAN	Блокировать
WHISPER_NAME	Шептать
WHISPER_REPORT	
WHISPER_SEND	Отправить
YES	да
ZONE_MAP	Большая карта
