ACCEPT	Akceptovat
GUILD_BASENAME	Základní jméno
GUILD_BOARD_ID	Jméno
GUILD_BOARD_REFRESH	Aktualizovat (F5)
GUILD_BOARD_TEXT	Zpráva
GUILD_BUILDING_CATEGORY_TITLE	Stavební jednotky
GUILD_BUILDING_CHANGE	Změnit
GUILD_BUILDING_DIRECTION	Orientace
GUILD_BUILDING_GRADE	Hodnost
GUILD_BUILDING_INFO	Informace o budově a nákladech
GUILD_BUILDING_LIST_TITLE	Seznam budov
GUILD_BUILDING_LOG	Kmen
GUILD_BUILDING_NAME	Název budovy
GUILD_BUILDING_OPERATE	Obsluhovat
GUILD_BUILDING_PLY	Překližka
GUILD_BUILDING_POSITION	Poloha
GUILD_BUILDING_PREVIEW	Náhled
GUILD_BUILDING_PRICE	Cena
GUILD_BUILDING_REFRESH	Aktualizovat (F5)
GUILD_BUILDING_STONE	Kámen
GUILD_BUILDING_TITLE	Stavba domu cechu
GUILD_CRYSTAL	Křišťál
GUILD_DEPOSIT	Zaplatit
GUILD_DROP_RESOURCE1	zde
GUILD_DROP_RESOURCE2	Nechat spadnout zdroj
GUILD_GEM	Drahokam
GUILD_GRADE_CHANGE_GRADE_NAME	Nové jméno hodnosti
GUILD_GRADE_NUM	Číslo
GUILD_GRADE_PERMISSION_DELETE	Propustit
GUILD_GRADE_PERMISSION_JOIN	Pozvat
GUILD_GRADE_PERMISSION_NOTICE	Napsat
GUILD_GRADE_PERMISSION_SKILL	Schopnosti
GUILD_GRADE_RANK	Hodnost
GUILD_GRADE_WRITE	Psát
GUILD_INFO	Informace o cechu
GUILD_INFO_CUR_EXP	Zkušenost
GUILD_INFO_DECALRE_WAR	Vyhlásit válku
GUILD_INFO_ENEMY_GUILD	Nepřátelský cech
GUILD_INFO_ENEMY_GUILD_EMPTY	Žádná
GUILD_INFO_LEVEL	Cechovní úroveň
GUILD_INFO_MASTER	Vedoucí
GUILD_INFO_MASTER_VALUE	Vedoucí
GUILD_INFO_MEMBER_AVG_LEVEL	Prům. úroveň
GUILD_INFO_MEMBER_NUM	Počet členů
GUILD_INFO_NAME	Název cechu
GUILD_INFO_NAME_VALUE	Toto je název cechu
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Potřebná zkušenost
GUILD_INFO_UPLOAD_MARK	Uploadovat logo
GUILD_INFO_UPLOAD_SYMBOL	Uploadovat logo
GUILD_MARK	Logo cechu
GUILD_MEMBER_JOB	Rasa
GUILD_MEMBER_KNIGHT	Vedoucí
GUILD_MEMBER_LEVEL	Úroveň
GUILD_MEMBER_NAME	Jméno
GUILD_MEMBER_RANK	Hodnost
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	Kámen metin
GUILD_MINENAL	Minerál
GUILD_MONEY	Yang
GUILD_NAME	Cech
GUILD_RESOURCE_INFO	Informace o zdrojích
GUILD_SKILL_ACTIVE	Aktivní
GUILD_SKIlL_HEAL_GSP	Nabít
GUILD_SKILL_PASSIVE	Pasivní
GUILD_SKILL_POWER	Energie
GUILD_SKILL_STATE	Schopnosti cechu
GUILD_WAR_ACCEPT	Akceptovat vyhlášení války
GUILD_WAR_BATTLE_TYPE	Druh boje
GUILD_WAR_CTF	Vlajka
GUILD_WAR_DECLARE	Vyhlásit válku cechů
GUILD_WAR_ENEMY	Protivník
GUILD_WAR_NORMAL	Pole
GUILD_WAR_WARP	Arena
GUILD_WATER	Voda
GUILD_WATER_STONE	Vodní kámen
GUILD_WITHDRAW	Vzít
HELP_ATTACK_KEY	Útok: stiskni mezerník nebo levé tlačítko myši
HELP_CHANGE_PK_MODE	Změnit útočný mód: změňte nastavení levého tlačítka myši
HELP_CHARACTER_BUTTON1	(Okno postavy, Inventář,
HELP_CHARACTER_BUTTON2	Seznam přátel a Možnosti)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Pohled kamery: lze nastavit středním nebo pravým tlačítkem myši
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Pohled kamery: lze nastavit pravým nebo středním tlačítkem myši
HELP_EXP	Zkušenost
HELP_FURY	Item Shop ve hře
HELP_GUILD_WINDOW	Otevřít okno cechu: stistknutím kláves Alt + G
HELP_HELP	Zobrazit nápovědu: stisknutím klávesy H
HELP_HP	Zdravotní Body (ZB)
HELP_MESSENGER_WINDOW	Otevřít Seznam přátel: pomocí kláves Alt + M
HELP_MOUSE_LEFT	Funkce levého tlačítka myši
HELP_MOUSE_RIGHT	Funkce pravého tlačítka myši
HELP_MOVE_KEY	Pohyb: k pohybu použij klávesy W, S, A, D nebo šipky
HELP_OPEN_CHARACTER	Otevřít okno postavy: pomocí klávesy C
HELP_OPEN_CHAT	Otevřít okno chatu: pomocí klávesy Enter
HELP_OPEN_INVENTORY	Otevřít Inventář: pomocí klávesy I
HELP_OPEN_LOG	Otevřít log chatu: pomocí klávesy L
HELP_OPEN_MINIMAP	Otevřít Minimapu: pomocí kláves Shift + M
HELP_OPEN_QUEST	Otevřít okno s úkoly: pomocí klávesy N
HELP_OPEN_SKILL	Otevřít okno schopnosti: pomocí klávesy V
HELP_OPEN_WHISPER	Otevřít Šepot: pomocí kláves Shift + Enter
HELP_OPEN_ZONEMAP	Otevří velkou mapu: pomocí klávesy M
HELP_PICK_ITEM	Zvedat předměty: pomocí kláves ^ nebo Y nebo levým tlačítkem myši
HELP_QUICKSLOT	Pole rychlého přístupu
HELP_SCREEN_CAPTURE	Uložit Snímek obrazovky: pomocí klávesy Print (bude uložen v souboru "Metin2\screenshot")
HELP_SHOW_ALL_NAME	Zobrazit Jména: pomocí klávesy Alt
HELP_SP	Magické Body (MB)
HELP_SYSTEM_BUTTON	Systémové klávesy
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Inventář
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Inventář
INVENTORY_TITLE	Inventář
LOAD_ERROR	Soubor je poškozen. Prosím nainstaluj Client znovu. Teď stiskni klávesu ESC.
LOGIN_CONNECT	Připojit
LOGIN_CONNECTING	Budeš spojen se serverem.
LOGIN_DEFAULT_SERVERADDR	Název serveru, kanál 1
LOGIN_EXIT	Ukončit
LOGIN_ID	Uživatelské jméno
LOGIN_PASSWORD	Heslo
LOGIN_SELECT_BUTTON	Zvolit
LOGIN_SELECT_EXIT	Ukončit
LOGIN_SELECT_TITLE	Zvolit server
MALL_PASSWORD_TITLE	Heslo
MALL_TITLE	Sklad Item Shop
MARKLIST_REFRESH	Aktualizovat
MARKLIST_TITLE	Zaregistrovat logo cechu
MESSAGE	Toto je zpráva
MESSENGER_ADD_FRIEND	Přidat přátele
MESSENGER_DELETE_FRIEND	Smazat přátele
MESSENGER_MOBILE	Poslat SMS
MESSENGER_OPEN_GUILD	Otevřít okno cechu
MESSENGER_TITLE	Přátelé
MESSENGER_WHISPER	Šeptat
MINIMIZE	Minimalizovat
MOUSEBUTTON_ATTACK	Útočit
MOUSEBUTTON_AUTO_ATTACK	Automaticky útočit
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Schopnosti
MUSICLIST_TITLE	Výběr hudby
NO	Ne
OK	OK
OPTION_ALWAYS_SHOW_NAME	Jméno
OPTION_ALWAYS_SHOW_NAME_OFF	omezen
OPTION_ALWAYS_SHOW_NAME_ON	vždy
OPTION_BLOCK	Blokovat
OPTION_BLOCK_EXCHANGE	Obchodovat
OPTION_BLOCK_FRIEND	Přátelé
OPTION_BLOCK_GUILD	Cech
OPTION_BLOCK_PARTY	Skupina
OPTION_BLOCK_PARTY_REQUEST	Dotaz
OPTION_BLOCK_WHISPER	Šeptat
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Daleko
OPTION_CAMERA_DISTANCE_SHORT	Blízko
OPTION_DELETE_MOBILE_BUTTON	Smazat číslo mobilu
OPTION_EFFECT	Zobrazení zásahů
OPTION_FOG	Mlha
OPTION_FOG_DENSE	Hodně
OPTION_FOG_LIGHT	Málo
OPTION_FOG_MIDDLE	Středně
OPTION_INPUT_MOBILE_BUTTON	Vložit číslo mobilu
OPTION_MOBILE	Mobil
OPTION_MUSIC	Hudba
OPTION_MUSIC_CHANGE	Změnit
OPTION_MUSIC_DEFAULT_THEMA	Standardní titul Metinu2
OPTION_NAME_COLOR	Název barvy
OPTION_NAME_COLOR_EMPIRE	Barva říše
OPTION_NAME_COLOR_NORMAL	Normální
OPTION_PVPMODE	Modus PvP
OPTION_PVPMODE_FREE	Volný
OPTION_PVPMODE_FREE_TOOLTIP	Smíš útočit na všechny hráče
OPTION_PVPMODE_GUILD	Cech
OPTION_PVPMODE_GUILD_TOOLTIP	Smíš útočit na všechny hráče kromě členů vlastního cechu.
OPTION_PVPMODE_PEACE	Mír
OPTION_PVPMODE_PEACE_TOOLTIP	Nemůžeš zaútočit na hráče z tvého království.
OPTION_PVPMODE_REVENGE	Nepřátelsky
OPTION_PVPMODE_REVENGE_TOOLTIP	Můžeš útočit pouze hráče s jiným smýšlením.
OPTION_SALESTEXT	Jméno obchodu
OPTION_SALESTEXT_VIEW_OFF	skrýt
OPTION_SALESTEXT_VIEW_ON	ukázat
OPTION_SOUND	Efekty
OPTION_TARGET_BOARD	Cílové menu
OPTION_TARGET_BOARD_NO_VIEW	Zavřít
OPTION_TARGET_BOARD_VIEW	Zobrazit
OPTION_TILING	Grafická paměť
OPTION_TILING_APPLY	Použít
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_VIEW_CHAT	Řádek v chatu
OPTION_VIEW_CHAT_OFF	skrýt
OPTION_VIEW_CHAT_ON	ukázat
PARTY_MEMBER_INFO_NAME	Jméno člena cechu
PASSWORD_DESC_1	Zadejte své heslo
PASSWORD_DESC_2	k otevření skladu.
PASSWORD_DESC_3	Již sis změnil heslo?
PASSWORD_DESC_4	Pokud ne, heslo je '000000'.
PASSWORD_DESC_5	Své heslo si změň ve skladišti.
PASSWORD_TITLE	Paměť- PW
PICK_MONEY_TITLE	Dělit
PRIVATE_SHOP_CLOSE_BUTTON	Zavřít obchod
PRIVATE_SHOP_NAME	Jméno obchodu
PRIVATE_SHOP_TITLE	Otevřít obchod
REFINE_COST	Náklady na zlepšení: 0 Yangů
REFINE_INFO	Pravděpodobnost úspěšného zlepšení: 100 %
REFINE_TTILE	Zlepšení
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Zde znovu spustit
RESTART_TOWN	Znovu spustit ve městě
SAFE_CHANGE_PASSWORD	Změnit heslo
SAFE_TITLE	Sklad
SELECT_ATT_GRADE	SIL
SELECT_CREATE	Vytvořit
SELECT_DELETE	Smazat
SELECT_DEX_GRADE	POH
SELECT_EMPIRE_NAME	Název království
SELECT_EXIT	Ukončit
SELECT_HP	VIT
SELECT_LEVEL	Úroveň
SELECT_METIN_STONE_TITLE	Zvolit Kámen ducha
SELECT_NAME	Jméno
SELECT_NO_GUILD	Bez cechu
SELECT_PLAYTIME	Trvání hry
SELECT_SELECT	Start
SELECT_SP	INT
SHOP_BUY	Koupit
SHOP_SELL	Prodat
SHOP_TITLE	Obchod
SKILL_SUPPORT_TITLE	Standardní schopnosti
STEP_SELECT	Stupeň čirosti
STRENGTH_SELECT	Úroveň
SYSTEMOPTION_TITLE	Nastavení systému
SYSTEM_CHANGE	Změnit postavu
SYSTEM_EXIT	Ukončit hru
SYSTEM_HELP	Nápověda
SYSTEM_LOGOUT	Odhlásit se
SYSTEM_MALL	Item Shop
TASKBAR_CHARACTER	Postava [C/V/B/N]
TASKBAR_CHAT	Okno s chatem [Enter]
TASKBAR_DISABLE	Deaktivováno
TASKBAR_DRAGON_SOUL	Alchymie Dračích kamenů
TASKBAR_EXPAND	Rozšířit okno
TASKBAR_INVENTORY	Inventář [I]
TASKBAR_MESSENGER	Přátelé [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Nejbližší pole rychlého přístupu [Shift+číslice, Alt]
TASKBAR_PREV_QUICKSLOT	Předchozí pole rychlého přístupu [Shift+číslice]
TASKBAR_SYSTEM	Nastavení [ESC]
WHISPER_BAN	Blokovat
WHISPER_NAME	Šeptat
WHISPER_REPORT	
WHISPER_SEND	Poslat
YES	Ano
ZONE_MAP	Velká mapa
