AFF_LOVE_POINT	نقاط الحب: %d%%
MAP_MILGYO	معبد هوانغ
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	هاسون دونغ
MAP_MONKEY_DUNGEON2	جانغسون دونغ
MAP_MONKEY_DUNGEON3	سانغسون دونغ
MAP_MONKEY_DUNGEON_11	هاسون دونغ
MAP_MONKEY_DUNGEON_12	هاسون دونغ
MAP_MONKEY_DUNGEON_13	هاسون دونغ
MAP_MT_THUNDER	جبال الرعد
MAP_MT_TH_DUNGEON_01	معبد الآشاو
MAP_NUSLUCK	أرض العمالقة
MAP_N_DESERT_02	
MAP_N_FLAME_02	
MAP_N_SNOWM_02	
MAP_NUSLUCK01	أرض العمالقة
MAP_N_DESERT_01	صحراء يونغبي
MAP_N_DESERT_02	
MAP_N_FLAME_01	أرض النار
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	كهف ميلي
MAP_N_FLAME_DUNGEON_01	قلعة التنين الأحمر
MAP_N_SNOWM_01	جبل سوهان
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	بُرج النمير
MAP_N_THREEWAY	وادي سوينغريونغ
MAP_OXEVENT	مسابقة OX
MAP_PATHWAY_DESERT_01	معركة الإمبراطورية-أرض الصحراء
MAP_PATHWAY_DESERT_02	معركة الإمبراطورية-أرض الصحراء
MAP_PATHWAY_DESERT_03	معركة الإمبراطورية-أرض الصحراء
MAP_PATHWAY_FLAME_01	معركة الإمبراطورية-أرض النار
MAP_PATHWAY_FLAME_02	معركة الإمبراطورية-أرض النار
MAP_PATHWAY_FLAME_03	معركة الإمبراطورية-أرض النار
MAP_PATHWAY_ICE_01	معركة الإمبراطورية-الأرض الجليدية
MAP_PATHWAY_ICE_02	ساحة اللعب
MAP_PATHWAY_ICE_03	معركة الإمبراطورية-الأرض الجليدية
MAP_SKELTOWER	برج غومسان
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_01	كهف اللعنة
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	كهف اللعنة 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	معبد التنين
MAP_SKIPIA_DUNGEON_BOSS_1	برج العناكب المحصن 1
MAP_SKIPIA_DUNGEON_BOSS_2	برج العناكب المحصن 2
MAP_SKIPIA_DUNGEON_BOSS_3	برج العناكب المحصن 3
MAP_SNOW	جبل سوهان
MAP_SPIDER	كواهلو دونغ
MAP_SPIDERDUNGEON	برج العناكب المحصن 1
MAP_SPIDERDUNGEON_02	برج العناكب المحصن 2
MAP_SPIDERDUNGEON_02_1	برج العناكب المحصن 2
MAP_SPIDERDUNGEON_03	برج العناكب المحصن 3
MAP_SUNGZI	معركة الإمبراطورية
MAP_SUNGZI_DESERT_01	معركة الإمبراطورية-أرض الصحراء
MAP_SUNGZI_DESERT_HILL_01	معركة الإمبراطورية-أرض الصحراء
MAP_SUNGZI_DESERT_HILL_02	معركة الإمبراطورية-أرض الصحراء
MAP_SUNGZI_DESERT_HILL_03	معركة الإمبراطورية-أرض الصحراء
MAP_SUNGZI_FLAME_HILL_01	معركة الإمبراطورية-أرض النار
MAP_SUNGZI_FLAME_HILL_02	معركة الإمبراطورية-أرض النار
MAP_SUNGZI_FLAME_HILL_03	معركة الإمبراطورية-أرض النار
MAP_SUNGZI_SNOW	معركة الإمبراطورية-الأرض الجليدية
MAP_SUNGZI_SNOW_PASS01	معركة الإمبراطورية-الأرض الجليدية
MAP_SUNGZI_SNOW_PASS02	معركة الإمبراطورية-الأرض الجليدية
MAP_SUNGZI_SNOW_PASS03	معركة الإمبراطورية-الأرض الجليدية
MAP_T1	منطقة حرب الرابطة
MAP_T2	منطقة حرب الرابطة
MAP_T3	منطقة حرب الرابطة
MAP_T4	منطقة حرب الرابطة
MAP_TEMPLE	معبد هوانغ
MAP_THUNDER	جبال الرعد
MAP_TREE	لونغسام (غابة الأشباح)
MAP_TRENT_A	
MAP_TRENT	غابة الأشباح
MAP_TRENT02	الغابة الحمراء
MAP_TRENT02_A	الغابة الحمراء
MAP_TRENT_A	
MAP_WEDDING_01	خريطة الزواج
MAP_WL	ميدان الأفاعي
